,66Q,MY0,J94,601,S61,JE5,JB2,61D,59X,L12
2017/5/25 00:00,0.0,0.0,16.42,0.0,20.5192,22.63,20.51,0.0,0.0,0.0
2017/5/26 00:00,97.62,31.59,16.43,22.62,20.5411,22.62,20.51,14.34,13.676,12.04
2017/5/30 00:00,97.75,31.6,0.0,22.73,20.5486,22.62,20.54,14.37,13.636,12.05
2017/5/31 00:00,97.84,31.65,16.46,22.63,20.5605,22.62,20.55,14.38,13.698,12.06
2017/6/1 00:00,97.78,31.66,16.45,22.67,20.5649,22.64,20.55,14.37,13.687,12.07
2017/6/2 00:00,97.9,31.68,16.48,22.73,20.6041,22.65,20.61,14.42,13.721,12.08
2017/6/5 00:00,0.0,0.0,16.5,0.0,20.6026,22.66,20.58,0.0,0.0,0.0
2017/6/6 00:00,98.02,31.73,16.51,22.73,20.6296,22.67,20.62,14.4,13.742,12.09
2017/6/7 00:00,97.92,31.77,16.51,22.71,20.6358,22.63,20.59,14.37,13.739,12.08
2017/6/8 00:00,97.88,31.72,16.48,22.76,20.5984,22.61,20.57,14.36,13.667,12.08
2017/6/9 00:00,97.84,31.69,16.46,22.68,20.5671,22.62,20.55,14.35,13.702,12.06
2017/6/12 00:00,97.77,31.69,16.47,22.67,20.5622,22.63,20.55,14.31,13.703,12.09
2017/6/13 00:00,97.67,31.67,16.47,22.67,20.5456,22.66,20.56,14.32,13.697,12.09
2017/6/14 00:00,98.07,31.71,16.51,22.72,20.5982,22.66,20.63,14.32,13.692,12.1
2017/6/15 00:00,98.0,31.79,16.51,22.77,20.6022,22.63,20.61,14.27,13.747,12.1
2017/6/16 00:00,98.0,31.77,16.51,22.7,20.5987,22.61,20.62,14.28,13.744,12.1
2017/6/19 00:00,97.98,31.81,16.51,22.68,20.6004,22.62,20.59,14.26,13.692,12.09
2017/6/20 00:00,98.11,31.76,16.51,22.68,20.5844,22.58,20.62,14.29,13.745,12.09
2017/6/21 00:00,98.14,31.8,16.52,22.66,20.5892,22.52,20.62,14.3,13.752,12.1
2017/6/22 00:00,98.19,31.81,16.54,22.68,20.6003,22.5,20.63,14.33,13.764,12.12
2017/6/23 00:00,0.0,0.0,16.54,0.0,20.6032,22.51,20.64,0.0,0.0,0.0
2017/6/26 00:00,98.29,31.86,16.55,22.79,20.6265,22.54,20.65,14.37,13.783,12.12
2017/6/27 00:00,98.12,31.85,16.53,22.67,20.6179,22.55,20.59,14.31,13.759,12.12
2017/6/28 00:00,98.08,31.78,16.49,22.67,20.5979,22.55,20.59,14.32,13.729,12.12
2017/6/29 00:00,97.96,31.75,16.47,22.63,20.5702,22.54,20.55,14.26,13.71,12.12
2017/6/30 00:00,97.86,31.71,16.46,22.69,20.5702,22.56,20.52,14.23,13.702,12.12
2017/7/3 00:00,97.8,31.67,16.45,22.59,20.5581,22.56,20.49,14.21,13.69,12.12
2017/7/5 00:00,97.83,31.62,16.42,22.59,20.5195,22.57,20.51,14.23,13.612,12.13
2017/7/6 00:00,97.72,31.62,16.41,22.55,20.5131,22.53,20.48,14.2,13.613,12.12
2017/7/7 00:00,97.64,31.58,16.39,22.53,20.4993,22.49,20.46,14.15,13.649,12.13
2017/7/10 00:00,97.7,31.58,16.37,22.55,20.5082,22.51,20.47,14.15,13.65,12.13
2017/7/11 00:00,97.73,31.6,16.41,22.57,20.5058,22.51,20.49,14.18,13.658,12.14
2017/7/12 00:00,97.9,31.64,16.44,22.63,20.5758,22.57,20.53,14.22,13.689,12.16
2017/7/13 00:00,97.86,31.69,16.46,22.63,20.5641,22.59,20.51,14.21,13.693,12.17
2017/7/14 00:00,97.93,31.69,16.47,22.67,20.5962,22.64,20.53,14.23,13.705,12.18
2017/7/17 00:00,98.02,31.72,16.47,22.69,20.5837,22.68,20.55,14.25,13.7,12.19
2017/7/18 00:00,98.19,31.76,16.5,22.73,20.6178,22.7,20.6,14.29,13.726,12.19
2017/7/19 00:00,98.24,31.82,16.52,22.74,20.6403,22.75,20.6,14.3,13.741,12.18
2017/7/20 00:00,98.24,31.83,16.53,22.75,20.6504,22.77,20.6,14.27,13.755,12.18
2017/7/21 00:00,98.38,31.84,16.53,22.78,20.6902,22.76,20.63,14.29,13.715,12.19
2017/7/24 00:00,98.32,31.88,16.54,22.76,20.6589,22.76,20.62,14.28,13.768,12.19
2017/7/25 00:00,98.08,31.83,16.5,22.72,20.618,22.78,20.55,14.23,13.736,12.19
2017/7/26 00:00,98.23,31.74,16.47,22.76,20.6012,22.8,20.59,14.28,13.707,12.19
2017/7/27 00:00,98.18,31.8,16.5,22.76,20.6152,22.79,20.57,14.27,13.727,12.19
2017/7/28 00:00,98.31,31.78,16.5,22.77,20.6189,22.79,20.59,14.29,13.727,12.2
2017/7/31 00:00,98.32,31.81,16.51,22.77,20.6443,22.78,20.6,14.28,13.736,12.2
2017/8/1 00:00,98.49,31.85,16.52,22.81,20.6304,22.8,20.64,14.31,13.748,12.21
2017/8/2 00:00,98.51,31.88,16.55,22.8,20.6703,22.79,20.63,14.3,13.777,12.21
2017/8/3 00:00,98.62,31.88,16.56,22.82,20.6809,22.76,20.67,14.32,13.777,12.22
2017/8/4 00:00,98.34,31.91,16.55,22.8,20.671,22.77,20.62,14.3,13.719,12.21
2017/8/7 00:00,98.54,31.87,16.54,22.8,20.6678,22.77,20.62,14.33,13.763,12.21
2017/8/8 00:00,98.52,31.87,16.55,22.77,20.6717,22.76,20.6,14.33,13.711,12.2
2017/8/9 00:00,98.54,31.86,16.56,22.77,20.7064,22.68,20.6,14.37,13.775,12.19
2017/8/10 00:00,98.53,31.88,16.57,22.75,20.685,22.6,20.62,14.39,13.769,12.17
2017/8/11 00:00,98.54,31.89,16.58,22.76,20.6987,22.6,20.62,14.39,13.78,12.18
2017/8/14 00:00,98.53,31.87,16.59,22.77,20.696,22.64,20.61,14.33,13.779,12.18
2017/8/15 00:00,0.0,0.0,16.56,0.0,20.6522,22.63,20.58,0.0,0.0,0.0
2017/8/16 00:00,98.53,31.84,16.55,22.85,20.6544,22.64,20.61,14.33,13.708,12.18
2017/8/17 00:00,98.59,31.9,16.58,22.84,20.6853,22.61,20.65,14.35,13.783,12.18
2017/8/18 00:00,98.61,31.95,16.61,22.76,20.7284,22.59,20.64,14.34,13.821,12.18
2017/8/21 00:00,98.65,31.95,16.61,22.77,20.7285,22.59,20.65,14.35,13.805,12.18
2017/8/22 00:00,98.57,31.95,16.6,22.75,20.7224,22.6,20.63,14.33,13.75,12.19
2017/8/23 00:00,98.68,31.94,0.0,22.78,20.7342,22.61,20.67,14.37,13.805,12.19
2017/8/24 00:00,98.64,31.99,16.63,22.77,20.7435,22.62,20.65,14.35,13.818,12.19
2017/8/25 00:00,98.7,31.93,16.61,22.8,20.7312,22.63,20.67,14.36,13.809,12.21
2017/8/28 00:00,98.73,32.0,16.63,22.81,20.7543,22.65,20.68,14.37,13.824,12.21
2017/8/29 00:00,98.74,32.03,16.66,22.9,20.8072,22.63,20.7,14.38,13.857,12.2
2017/8/30 00:00,98.78,32.03,16.65,22.83,20.7761,22.65,20.7,14.38,13.837,12.19
2017/8/31 00:00,98.89,32.04,16.66,22.93,20.7838,22.69,20.72,14.42,13.845,12.16
2017/9/1 00:00,98.81,32.09,16.65,22.84,20.7966,22.7,20.7,14.4,13.843,12.18
2017/9/5 00:00,98.94,32.07,16.67,22.97,20.8138,22.7,20.78,14.48,13.865,12.16
2017/9/6 00:00,99.0,32.15,16.71,22.87,20.8579,22.72,20.74,14.46,13.888,12.15
2017/9/7 00:00,99.15,32.12,16.7,22.89,20.8427,22.74,20.79,14.51,13.883,12.15
2017/9/8 00:00,99.09,32.16,16.71,22.89,20.8695,22.72,20.77,14.52,13.892,12.15
2017/9/11 00:00,98.77,32.14,16.69,22.86,20.8238,22.73,20.71,14.48,13.866,12.16
2017/9/12 00:00,98.81,32.05,16.65,22.83,20.7766,22.74,20.68,14.45,13.834,12.16
2017/9/13 00:00,98.78,32.02,16.63,22.82,20.7805,22.75,20.66,14.42,13.824,12.16
2017/9/14 00:00,98.83,32.0,16.62,22.89,20.7704,22.77,20.68,14.44,13.812,12.16
2017/9/15 00:00,98.84,32.02,16.62,22.8,20.7962,22.78,20.68,14.44,13.824,12.16
2017/9/18 00:00,98.79,32.02,16.61,22.79,20.7789,22.79,20.66,14.43,13.811,12.15
2017/9/19 00:00,98.79,31.99,16.6,22.77,20.7777,22.82,20.66,14.41,13.806,12.15
2017/9/20 00:00,98.72,31.99,16.6,22.75,20.7712,22.84,20.64,14.36,13.806,12.15
2017/9/21 00:00,98.74,31.96,16.58,22.74,20.7507,22.84,20.63,14.34,13.8,12.15
2017/9/22 00:00,98.81,31.97,16.58,22.76,20.7625,22.85,20.65,14.38,13.797,12.16
2017/9/25 00:00,98.96,31.99,16.59,22.79,20.8031,22.87,20.69,14.41,13.797,12.17
2017/9/26 00:00,98.93,32.02,16.61,22.87,20.7886,22.89,20.68,14.4,13.809,12.17
2017/9/27 00:00,98.73,31.98,16.58,22.75,20.7309,22.9,20.62,14.35,13.775,12.17
2017/9/28 00:00,98.74,31.91,16.55,22.76,20.7073,22.92,20.63,14.35,13.764,12.17
2017/9/29 00:00,98.74,31.93,16.55,22.76,20.7488,22.93,20.63,14.32,13.768,12.18
2017/10/2 00:00,98.79,31.94,0.0,22.76,20.7407,22.92,20.63,14.3,13.779,12.19
2017/10/3 00:00,98.82,31.95,16.56,22.78,20.7235,22.91,20.66,14.31,13.774,12.19
2017/10/4 00:00,98.82,31.97,16.57,22.78,20.7612,22.92,20.65,14.32,13.788,12.19
2017/10/5 00:00,98.77,31.94,0.0,22.78,20.7576,22.93,20.64,14.31,13.778,12.19
2017/10/6 00:00,98.69,31.9,16.52,22.77,20.7013,22.93,20.62,14.3,13.746,12.19
2017/10/9 00:00,98.74,31.89,0.0,22.77,20.7216,22.93,20.63,14.31,13.758,12.19
2017/10/10 00:00,98.8,31.91,16.55,22.79,20.7288,22.93,20.64,14.33,13.777,12.2
2017/10/11 00:00,98.84,31.93,16.56,22.87,20.7404,22.93,20.64,14.34,13.828,12.2
2017/10/12 00:00,98.9,31.92,16.56,22.81,20.7306,22.92,20.66,14.37,13.78,12.21
2017/10/13 00:00,99.09,31.96,16.59,22.84,20.7664,22.92,20.7,14.38,13.802,12.22
2017/10/16 00:00,99.04,31.99,16.6,22.82,20.7745,22.93,20.68,14.34,13.804,12.21
2017/10/17 00:00,99.07,31.96,16.58,22.83,20.7286,22.94,20.67,14.33,13.794,12.27
2017/10/18 00:00,98.97,31.95,16.57,22.81,20.7241,22.95,20.64,14.32,13.771,12.2
2017/10/19 00:00,98.99,31.94,16.58,22.82,20.743,22.95,20.66,14.33,13.793,12.2
2017/10/20 00:00,98.82,31.93,16.55,22.79,20.7084,22.95,20.61,14.31,13.751,12.21
2017/10/23 00:00,98.89,31.89,16.55,22.8,20.6959,22.98,20.64,14.3,13.759,12.21
2017/10/24 00:00,98.8,31.89,16.54,22.85,20.6786,22.97,20.6,14.28,13.745,12.21
2017/10/25 00:00,98.68,31.84,16.5,22.74,20.6353,22.93,20.58,14.25,13.666,12.21
2017/10/26 00:00,98.64,31.8,16.5,22.71,20.6547,22.94,20.56,14.26,13.718,12.21
2017/10/27 00:00,98.76,31.78,16.5,22.81,20.6167,22.93,20.6,14.29,13.709,12.22
2017/10/30 00:00,98.98,31.84,16.54,22.79,20.6786,22.93,20.64,14.33,13.742,12.25
2017/10/31 00:00,98.99,31.91,16.57,22.79,20.6991,22.94,20.63,14.34,13.766,12.25
2017/11/1 00:00,0.0,0.0,16.57,0.0,20.6903,22.95,20.64,0.0,0.0,0.0
2017/11/2 00:00,99.1,31.92,16.58,22.81,20.7067,22.93,20.65,14.37,13.775,12.26
2017/11/3 00:00,99.16,31.93,16.59,22.81,20.7208,22.94,20.66,14.37,13.826,12.26
2017/11/6 00:00,99.25,31.96,16.61,22.81,20.7339,22.92,20.67,14.4,13.797,12.26
2017/11/7 00:00,99.28,31.97,16.62,22.8,20.7285,22.9,20.66,14.42,13.801,12.27
2017/11/8 00:00,99.22,31.97,16.62,22.77,20.7285,22.83,20.64,14.42,13.804,12.27
2017/11/9 00:00,99.12,31.94,16.6,22.73,20.7022,22.76,20.61,14.4,13.784,12.27
2017/11/10 00:00,98.85,31.89,16.57,22.69,20.6601,22.75,20.54,14.35,13.754,12.27
2017/11/13 00:00,98.88,31.81,16.55,22.68,20.648,22.74,20.54,14.35,13.738,12.27
2017/11/14 00:00,98.94,31.81,16.55,22.67,20.6295,22.67,20.56,14.36,13.741,12.27
2017/11/15 00:00,99.05,31.84,16.57,22.67,20.6734,22.62,20.59,14.39,13.769,12.28
2017/11/16 00:00,99.04,31.84,16.58,22.69,20.6667,22.72,20.56,14.38,13.759,12.27
2017/11/17 00:00,99.05,31.85,16.57,22.79,20.6641,22.75,20.59,14.38,13.758,12.28
2017/11/20 00:00,99.04,31.89,16.58,22.71,20.6777,22.76,20.58,14.36,13.76,12.27
2017/11/21 00:00,99.12,31.89,16.58,22.73,20.6731,22.79,20.59,14.37,13.77,12.27
2017/11/22 00:00,99.23,31.87,16.58,22.78,20.6756,22.81,20.63,14.41,13.768,12.28
2017/11/24 00:00,99.17,31.92,16.61,22.77,20.722,22.81,20.61,14.4,13.783,12.28
2017/11/27 00:00,99.17,31.91,16.6,22.8,20.7238,22.82,20.62,14.4,13.779,12.29
2017/11/28 00:00,99.21,31.92,16.61,22.8,20.7273,22.78,20.62,14.39,13.789,12.29
2017/11/29 00:00,99.07,31.89,16.55,22.77,20.6805,22.79,20.58,14.36,13.752,12.29
2017/11/30 00:00,99.03,31.86,16.57,22.74,20.6608,22.79,20.55,14.34,13.752,12.29
2017/12/1 00:00,99.24,31.84,16.56,22.78,20.6608,22.79,20.6,14.4,13.748,12.3
2017/12/4 00:00,99.24,31.9,16.58,22.77,20.6818,22.81,20.6,14.4,13.752,12.3
2017/12/5 00:00,99.36,31.9,16.58,22.79,20.6859,22.82,20.61,14.41,13.761,12.3
2017/12/6 00:00,99.45,31.94,16.62,22.88,20.733,22.79,20.63,14.42,13.799,12.31
2017/12/7 00:00,99.33,31.97,16.62,22.77,20.7235,22.8,20.61,14.39,13.799,12.32
2017/12/8 00:00,99.3,31.91,16.59,22.78,20.6844,22.8,20.6,14.39,13.772,12.33
2017/12/11 00:00,99.23,31.9,16.59,22.78,20.6937,22.82,20.59,14.39,13.776,12.33
2017/12/12 00:00,99.2,31.87,16.57,22.87,20.6688,22.84,20.59,14.39,13.755,12.37
2017/12/13 00:00,99.39,31.88,16.59,22.83,20.698,22.84,20.63,14.42,13.766,12.38
2017/12/14 00:00,99.43,31.94,16.61,22.83,20.7134,22.83,20.63,14.42,13.782,12.38
2017/12/15 00:00,99.45,31.95,16.62,22.83,20.7269,22.83,20.63,14.41,13.793,12.38
2017/12/18 00:00,99.34,31.95,16.63,22.82,20.689,22.83,20.6,14.39,13.795,12.38
2017/12/19 00:00,99.13,31.9,16.59,22.78,20.6824,22.82,20.54,14.34,13.756,12.37
2017/12/20 00:00,98.96,31.81,16.53,22.76,20.6343,22.82,20.5,14.31,13.715,12.37
2017/12/21 00:00,99.18,31.77,16.53,22.77,20.6257,22.84,20.52,14.35,13.706,12.37
2017/12/22 00:00,99.04,31.79,16.54,22.77,20.632,22.84,20.52,14.35,13.715,12.38
2017/12/26 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/12/27 00:00,99.36,31.83,16.57,22.8,20.6706,22.86,20.59,14.42,13.737,12.38
2017/12/28 00:00,99.35,31.91,16.6,22.8,20.7014,22.88,20.58,14.42,13.765,12.38
2017/12/29 00:00,99.46,31.9,16.6,22.81,20.6989,22.87,20.59,14.46,13.763,12.39
2018/1/2 00:00,99.3,31.92,16.59,22.81,20.736,22.9,20.55,14.42,13.758,12.39
2018/1/3 00:00,99.41,31.87,16.58,22.84,20.7168,22.97,20.58,14.43,13.75,12.4
2018/1/4 00:00,99.41,31.89,16.57,22.85,20.7002,23.02,20.57,14.44,13.736,12.41
2018/1/5 00:00,99.35,31.89,16.57,22.82,20.7174,23.05,20.56,14.43,13.742,12.41
2018/1/8 00:00,99.31,31.87,16.54,22.85,20.7083,23.06,20.55,14.42,13.742,12.41
2018/1/9 00:00,99.09,31.85,16.54,22.83,20.6825,23.06,20.51,14.37,13.666,12.41
2018/1/10 00:00,99.07,31.77,16.5,22.82,20.6164,23.0,20.51,14.37,13.674,12.41
2018/1/11 00:00,99.14,31.79,16.51,22.8,20.64,23.03,20.52,14.36,13.692,12.43
2018/1/12 00:00,99.14,31.83,16.52,22.84,20.6344,23.03,20.52,14.36,13.694,12.44
2018/1/16 00:00,99.2,31.84,16.54,22.79,20.6763,23.04,20.52,14.39,13.715,12.43
2018/1/17 00:00,99.09,31.84,16.53,22.81,20.6586,23.02,20.49,14.37,13.712,12.42
2018/1/18 00:00,98.97,31.78,16.5,22.78,20.612,23.0,20.45,14.37,13.675,12.42
2018/1/19 00:00,98.88,31.73,16.47,22.75,20.6091,22.99,20.41,14.35,13.646,12.42
2018/1/22 00:00,98.8,31.7,16.45,22.74,20.5788,23.0,20.39,14.33,13.636,12.44
2018/1/23 00:00,98.93,31.69,16.46,22.78,20.596,23.04,20.46,14.35,13.646,12.44
2018/1/24 00:00,98.83,31.72,16.46,22.76,20.5743,23.03,20.44,14.34,13.637,12.44
2018/1/25 00:00,99.03,31.69,16.46,22.79,20.5856,23.04,20.47,14.37,13.583,12.45
2018/1/26 00:00,98.89,31.75,16.48,22.77,20.5896,23.05,20.44,14.35,13.655,12.44
2018/1/29 00:00,98.75,31.69,16.45,22.74,20.565,23.02,20.41,14.33,13.621,12.44
2018/1/30 00:00,98.62,31.64,16.46,22.71,20.5588,22.93,20.38,14.3,13.609,12.43
2018/1/31 00:00,98.69,31.62,16.43,22.71,20.5613,22.96,20.39,14.32,13.603,12.43
2018/2/1 00:00,98.48,31.67,16.43,22.69,20.549,22.93,20.33,14.28,13.601,12.43
2018/2/2 00:00,98.17,31.54,16.36,22.58,20.4749,22.84,20.29,14.23,13.533,12.43
2018/2/5 00:00,98.34,31.45,16.34,22.57,20.4502,22.77,20.36,14.26,13.521,12.43
2018/2/6 00:00,98.31,31.53,16.39,22.54,20.4833,22.71,20.29,14.25,13.567,12.42
2018/2/7 00:00,98.09,31.53,16.39,22.52,20.4802,22.78,20.26,14.21,13.502,12.42
2018/2/8 00:00,97.98,31.43,16.32,22.46,20.3992,22.66,20.24,14.18,13.496,12.41
2018/2/9 00:00,97.87,31.39,16.32,22.42,20.3761,22.54,20.19,14.16,13.455,12.41
2018/2/12 00:00,97.85,31.4,16.33,22.42,20.3691,22.61,20.19,14.15,13.491,12.42
2018/2/13 00:00,97.84,31.37,16.32,22.41,20.3611,22.54,20.18,14.15,13.492,12.42
2018/2/14 00:00,97.57,31.35,16.3,22.39,20.3308,22.56,20.11,14.13,13.469,12.41
2018/2/15 00:00,97.66,31.28,16.28,22.43,20.2969,22.66,20.14,14.16,13.448,12.42
2018/2/16 00:00,97.77,31.32,0.0,22.48,20.3504,22.72,20.17,14.16,13.47,12.43
2018/2/20 00:00,97.72,31.33,16.29,22.46,20.3109,22.73,20.17,14.15,13.458,12.43
2018/2/21 00:00,97.54,31.34,16.28,22.43,20.3313,22.71,20.12,14.11,13.462,12.43
2018/2/22 00:00,97.59,31.25,16.25,22.43,20.3057,22.69,20.13,14.13,13.435,12.43
2018/2/23 00:00,97.75,31.28,16.27,22.47,20.3234,22.69,20.16,14.17,13.451,12.44
2018/2/26 00:00,97.83,31.34,16.32,22.51,20.3703,22.75,20.18,14.2,13.48,12.45
2018/2/27 00:00,97.65,31.34,16.31,22.46,20.3262,22.74,20.14,14.16,13.47,12.44
2018/2/28 00:00,97.79,31.25,16.28,22.48,20.3122,22.71,20.16,14.18,13.454,12.44
2018/3/1 00:00,97.99,31.32,16.31,22.5,20.3333,22.69,20.2,14.22,13.478,12.45
2018/3/2 00:00,97.77,31.38,16.33,22.45,20.3368,22.62,20.14,14.22,13.485,12.44
2018/3/5 00:00,97.67,31.32,16.34,22.45,20.3368,22.66,20.13,14.2,13.469,12.44
2018/3/6 00:00,97.71,31.29,16.3,22.47,20.3164,22.7,20.14,14.2,13.456,12.43
2018/3/7 00:00,97.66,31.29,16.29,22.45,20.3184,22.68,20.13,14.19,13.453,12.43
2018/3/8 00:00,97.74,31.25,16.3,22.47,20.3099,22.68,20.15,14.2,13.509,12.43
2018/3/9 00:00,97.66,31.28,16.28,22.54,20.2834,22.7,20.12,14.19,13.449,12.44
2018/3/12 00:00,97.72,31.27,16.29,22.48,20.3244,22.71,20.14,14.19,13.456,12.44
2018/3/13 00:00,97.76,31.29,16.29,22.49,20.3151,22.69,20.15,14.2,13.46,12.44
2018/3/14 00:00,97.84,31.31,16.31,22.5,20.3553,22.66,20.17,14.23,13.475,12.44
2018/3/15 00:00,97.8,31.34,16.33,22.45,20.3379,22.64,20.16,14.23,13.488,12.44
2018/3/16 00:00,97.73,31.32,16.29,22.47,20.3074,22.65,20.14,14.21,13.473,12.44
2018/3/19 00:00,97.71,31.3,16.28,22.42,20.2884,22.61,20.13,14.21,13.471,12.44
2018/3/20 00:00,97.57,31.29,16.29,22.41,20.297,22.58,20.1,14.18,13.449,12.44
2018/3/21 00:00,97.51,31.24,16.26,22.41,20.2368,22.59,20.1,14.17,13.433,12.43
2018/3/22 00:00,97.69,31.25,16.29,22.4,20.2977,22.55,20.13,14.23,13.475,12.43
2018/3/23 00:00,97.72,31.3,16.3,22.43,20.2873,22.51,20.13,14.24,13.462,12.43
2018/3/26 00:00,97.65,31.31,16.31,22.43,20.2885,22.52,20.1,14.23,13.464,12.43
2018/3/27 00:00,97.86,31.31,16.31,22.49,20.294,22.53,20.16,14.27,13.466,12.44
2018/3/28 00:00,97.91,31.39,16.36,22.49,20.3567,22.51,20.16,14.27,13.511,12.44
2018/3/29 00:00,98.09,31.41,16.37,22.53,20.3547,22.53,20.19,14.3,13.516,12.45
2018/4/2 00:00,0.0,0.0,0.0,0.0,0.0,22.5,20.19,0.0,0.0,0.0
2018/4/3 00:00,97.98,31.46,16.38,22.51,20.3735,22.52,20.16,14.29,13.52,12.45
2018/4/4 00:00,97.94,31.42,16.39,22.52,20.3306,22.52,20.14,14.29,13.515,12.45
2018/4/5 00:00,97.88,31.4,0.0,22.52,20.3338,22.61,20.14,14.25,13.491,12.45
2018/4/6 00:00,98.04,31.39,16.33,22.57,20.3428,22.59,20.19,14.3,13.499,12.46
2018/4/9 00:00,98.07,31.44,16.38,22.56,20.3347,22.61,20.2,14.3,13.512,12.46
2018/4/10 00:00,98.05,31.44,16.37,22.57,20.3973,22.68,20.19,14.3,13.527,12.47
2018/4/11 00:00,98.12,31.44,16.37,22.58,20.392,22.69,20.2,14.32,13.531,12.47
2018/4/12 00:00,98.0,31.44,16.36,22.56,20.3737,22.72,20.16,14.31,13.472,12.47
2018/4/13 00:00,98.03,31.4,16.33,22.57,20.3369,22.76,20.18,14.32,13.499,12.47
2018/4/16 00:00,98.06,31.4,16.33,22.58,20.2762,22.79,20.18,14.31,13.495,12.46
2018/4/17 00:00,98.14,31.41,16.36,22.59,20.3273,22.83,20.19,14.34,13.501,12.47
2018/4/18 00:00,97.95,31.42,16.34,22.56,20.3264,22.83,20.14,14.31,13.5,12.47
2018/4/19 00:00,97.78,31.35,16.29,22.5,20.2795,22.73,20.1,14.28,13.455,12.47
2018/4/20 00:00,97.6,31.29,16.26,22.47,20.2438,22.69,20.05,14.24,13.431,12.46
2018/4/23 00:00,97.53,31.23,16.23,22.43,20.2026,22.64,20.04,14.23,13.4,12.46
2018/4/24 00:00,97.42,31.2,16.22,22.42,20.1769,22.53,20.02,14.2,13.386,12.46
2018/4/25 00:00,97.25,31.17,16.2,22.38,20.1352,22.46,19.99,14.17,13.368,12.46
2018/4/26 00:00,97.39,31.13,16.2,22.4,20.1496,22.52,20.02,14.21,13.371,12.47
2018/4/27 00:00,97.55,31.18,16.22,22.42,20.1567,22.52,20.05,14.25,13.355,12.47
2018/4/30 00:00,97.4,31.23,16.24,22.43,20.1751,22.52,20.06,14.28,13.406,12.48
2018/5/1 00:00,0.0,0.0,0.0,0.0,20.1544,22.5,20.03,0.0,0.0,0.0
2018/5/2 00:00,97.5,31.19,16.23,22.39,20.1256,22.51,20.03,14.24,13.397,12.48
2018/5/3 00:00,97.52,31.2,16.24,22.39,20.1438,22.48,20.05,14.25,13.403,12.48
2018/5/4 00:00,97.51,31.21,16.24,22.39,20.1398,22.51,20.05,14.25,13.41,12.48
2018/5/7 00:00,97.51,31.21,16.24,22.38,20.1389,22.53,20.05,14.26,13.404,12.48
2018/5/8 00:00,97.44,31.2,16.23,22.36,20.1159,22.53,20.04,14.24,13.394,12.48
2018/5/9 00:00,97.35,31.16,16.21,22.33,20.0723,22.54,20.01,14.23,13.379,12.48
2018/5/10 00:00,0.0,0.0,16.22,0.0,20.1095,22.58,20.04,0.0,0.0,0.0
2018/5/11 00:00,97.53,31.19,16.24,22.37,20.1396,22.58,20.05,14.25,13.403,12.49
2018/5/14 00:00,97.49,31.2,16.23,22.36,20.1325,22.59,20.04,14.22,13.396,12.5
2018/5/15 00:00,97.18,31.16,16.19,22.32,20.0643,22.55,19.97,14.17,13.356,12.49
2018/5/16 00:00,97.11,31.07,16.16,22.32,20.0446,22.54,19.95,14.16,13.337,12.48
2018/5/17 00:00,97.02,31.04,16.15,22.31,20.0237,22.53,19.94,14.13,13.315,12.48
2018/5/18 00:00,97.14,31.03,16.14,22.33,20.0226,22.53,19.98,14.16,13.314,12.49
2018/5/21 00:00,0.0,0.0,16.17,0.0,20.0353,22.53,19.98,0.0,0.0,0.0
2018/5/22 00:00,97.16,31.07,0.0,22.34,20.0571,22.54,19.98,14.16,13.339,12.5
2018/5/23 00:00,97.35,31.09,16.19,22.38,20.0927,22.53,20.01,14.2,13.357,12.51
2018/5/24 00:00,97.48,31.18,16.24,22.41,20.1398,22.54,20.04,14.21,13.401,12.51
2018/5/25 00:00,97.63,31.24,16.27,22.45,20.1758,22.53,20.08,14.23,13.43,12.52
2018/5/29 00:00,98.14,31.34,16.31,22.5,20.2111,22.45,20.19,14.33,13.515,12.53
2018/5/30 00:00,97.9,31.5,16.38,22.47,20.2723,22.48,20.14,14.28,13.545,12.52
2018/5/31 00:00,97.89,31.41,16.35,22.45,20.237,22.49,20.13,14.32,13.501,12.52
2018/6/1 00:00,97.72,31.38,16.31,22.44,20.1728,22.5,20.1,14.27,13.412,12.52
2018/6/4 00:00,97.6,31.32,16.29,22.39,20.1732,22.51,20.07,14.25,13.443,12.52
2018/6/5 00:00,97.64,31.28,16.27,22.45,20.1605,22.53,20.09,14.27,13.435,12.52
2018/6/6 00:00,97.45,31.27,16.26,22.42,20.1255,22.54,20.04,14.24,13.419,12.52
2018/6/7 00:00,97.57,31.21,16.23,22.45,20.0907,22.56,20.08,14.27,13.399,12.53
2018/6/8 00:00,97.51,31.26,16.26,22.45,20.1171,22.56,20.06,14.26,13.428,12.53
2018/6/11 00:00,97.47,31.25,16.27,22.43,20.1039,22.6,20.06,14.25,13.407,12.53
2018/6/12 00:00,97.48,31.22,16.24,22.42,20.0748,22.61,20.06,14.25,13.407,12.53
2018/6/13 00:00,97.42,31.24,16.25,22.4,20.0823,22.63,20.05,14.23,13.416,12.53
2018/6/14 00:00,97.54,31.22,16.24,22.43,20.1035,22.65,20.09,14.26,13.413,12.53
2018/6/15 00:00,97.58,31.27,16.28,22.43,20.0998,22.65,20.09,14.28,13.45,12.52
2018/6/18 00:00,0.0,31.29,0.0,22.42,20.0914,0.0,0.0,14.28,13.443,12.52
2018/6/19 00:00,97.64,31.29,16.28,22.41,20.0454,22.64,20.11,14.31,13.451,12.52
